AbsorbHealth03;EnchWeaponAbsorbHealth03 "Absorb Health" [ENCH:000AA15A];of Consuming;1500
AbsorbHealth04;EnchWeaponAbsorbHealth04 "Absorb Health" [ENCH:000AA15B];of Devouring;2000
AbsorbHealth05;EnchWeaponAbsorbHealth05 "Absorb Health" [ENCH:000AA15C];of Leeching;2500
AbsorbMagicka03;EnchWeaponAbsorbMagicka03 "Absorb Magicka" [ENCH:000AA15E];of Harrowing;1500
AbsorbMagicka04;EnchWeaponAbsorbMagicka04 "Absorb Magicka" [ENCH:000AA15F];of Winnowing;2000
AbsorbMagicka05;EnchWeaponAbsorbMagicka05 "Absorb Magicka" [ENCH:000AA160];of Evoking;2500
AbsorbStamina03;EnchWeaponAbsorbStamina03 "Absorb Stamina" [ENCH:000AA162];of Reaping;1500
AbsorbStamina04;EnchWeaponAbsorbStamina04 "Absorb Stamina" [ENCH:000AA163];of Harvesting;2000
AbsorbStamina05;EnchWeaponAbsorbStamina05 "Absorb Stamina" [ENCH:000AA164];of Garnering;2500
Banish04;EnchWeaponBanish04 "Banish" [ENCH:000ACBB7];of Banishing;2000
Banish05;EnchWeaponBanish05 "Banish" [ENCH:000ACBB8];of Expelling;2500
Chaos03;DLC2EnchWeaponChaosDamage03 "Chaos Damage" [ENCH:0402C46F];of Chaos;1500
Chaos04;DLC2EnchWeaponChaosDamage04 "Chaos Damage" [ENCH:0402C470];of High Chaos;2000
Chaos05;DLC2EnchWeaponChaosDamage05 "Chaos Damage" [ENCH:0402C471];of Extreme Chaos;2500
Fear03;EnchWeaponFear03 "Fear" [ENCH:0005B467];of Fear;1500
Fear04;EnchWeaponFear04 "Fear" [ENCH:0005B468];of Despair;2000
Fear05;EnchWeaponFear05 "Fear" [ENCH:0005B469];of Dread;2500
Fire03;EnchWeaponFireDamage03 "Fire Damage" [ENCH:00045C2C];of Scorching;1500
Fire04;EnchWeaponFireDamage04 "Fire Damage" [ENCH:00045C2D];of Fire;2000
Fire05;EnchWeaponFireDamage05 "Fire Damage" [ENCH:00045C30];of the Blaze;2500
Frost03;EnchWeaponFrostDamage03 "Frost Damage" [ENCH:00045C39];of Ice;1500
Frost04;EnchWeaponFrostDamage04 "Frost Damage" [ENCH:00045D4B];of Freezing;2000
Frost05;EnchWeaponFrostDamage05 "Frost Damage" [ENCH:00045D56];of Blizzards;2500
MagickaDamage03;EnchWeaponMagickaDamage03 "Magicka Damage" [ENCH:0005B455];of Diminishing;1500
MagickaDamage04;EnchWeaponMagickaDamage04 "Magicka Damage" [ENCH:0005B456];of Depleting;2000
MagickaDamage05;EnchWeaponMagickaDamage05 "Magicka Damage" [ENCH:0005B457];of Enervating;2500
Paralyze04;EnchWeaponParalysis04 "Paralyze" [ENCH:000ACBBA];of Stunning;2000
Paralyze05;EnchWeaponParalysis05 "Paralyze" [ENCH:000ACBBB];of Immobilizing;2500
Shock03;EnchWeaponShockDamage03 "Shock Damage" [ENCH:00045F6F];of Shocks;1500
Shock04;EnchWeaponShockDamage04 "Shock Damage" [ENCH:00045F89];of Thunderbolts;2000
Shock05;EnchWeaponShockDamage05 "Shock Damage" [ENCH:00045F8D];of Lightning;2500
SoulTrap03;EnchWeaponSoulTrap03 "Soul Trap" [ENCH:0005B461];of Binding;1500
SoulTrap04;EnchWeaponSoulTrap04 "Soul Trap" [ENCH:0005B462];of Animus;2000
SoulTrap05;EnchWeaponSoulTrap05 "Soul Trap" [ENCH:0005B463];of Malediction;2500
StaminaDamage03;EnchWeaponStaminaDamage03 "Stamina Damage" [ENCH:0005B45B];of Torpor;1500
StaminaDamage04;EnchWeaponStaminaDamage04 "Stamina Damage" [ENCH:0005B45C];of Debilitation;2000
StaminaDamage05;EnchWeaponStaminaDamage05 "Stamina Damage" [ENCH:0005B45D];of Lethargy;2500
TurnUndead03;EnchWeaponTurnUndead03 "Turn Undead" [ENCH:0005B46E];Reverent ;1500
TurnUndead04;EnchWeaponTurnUndead04 "Turn Undead" [ENCH:0005B46F];Hallowed ;2000
TurnUndead05;EnchWeaponTurnUndead05 "Turn Undead" [ENCH:0005B470];Virtuous ;2500
