AbsorbHealth02;EnchWeaponAbsorbHealth02 "Absorb Health" [ENCH:000AA145];of Absorption;1000
AbsorbHealth03;EnchWeaponAbsorbHealth03 "Absorb Health" [ENCH:000AA15A];of Consuming;1500
AbsorbMagicka02;EnchWeaponAbsorbMagicka02 "Absorb Magicka" [ENCH:000AA158];of Siphoning;1000
AbsorbMagicka03;EnchWeaponAbsorbMagicka03 "Absorb Magicka" [ENCH:000AA15E];of Harrowing;1500
AbsorbStamina02;EnchWeaponAbsorbStamina02 "Absorb Stamina" [ENCH:000AA159];of Gleaning;1000
AbsorbStamina03;EnchWeaponAbsorbStamina03 "Absorb Stamina" [ENCH:000AA162];of Reaping;1500
Chaos03;DLC2EnchWeaponChaosDamage03 "Chaos Damage" [ENCH:0402C46F];of Chaos;1500
Fear01;EnchWeaponFear01 "Fear" [ENCH:000FBFF7];of Dismay;500
Fear02;EnchWeaponFear02 "Fear" [ENCH:0005B466];of Cowardice;1000
Fear03;EnchWeaponFear03 "Fear" [ENCH:0005B467];of Fear;1500
Fire01;EnchWeaponFireDamage01 "Fire Damage" [ENCH:00049BB7];of Embers;500
Fire02;EnchWeaponFireDamage02 "Fire Damage" [ENCH:00045C2A];of Burning;1000
Fire03;EnchWeaponFireDamage03 "Fire Damage" [ENCH:00045C2C];of Scorching;1500
Frost01;EnchWeaponFrostDamage01 "Frost Damage" [ENCH:00045C36];of Cold;500
Frost02;EnchWeaponFrostDamage02 "Frost Damage" [ENCH:00045C37];of Frost;1000
Frost03;EnchWeaponFrostDamage03 "Frost Damage" [ENCH:00045C39];of Ice;1500
Shock01;EnchWeaponShockDamage01 "Shock Damage" [ENCH:00045D59];of Sparks;500
Shock02;EnchWeaponShockDamage02 "Shock Damage" [ENCH:00045D97];of Arcing;1000
Shock03;EnchWeaponShockDamage03 "Shock Damage" [ENCH:00045F6F];of Shocks;1500
SoulTrap01;EnchWeaponSoulTrap01 "Soul Trap" [ENCH:0005B45F];of Souls;500
SoulTrap02;EnchWeaponSoulTrap02 "Soul Trap" [ENCH:0005B460];of Soul Snares;1000
SoulTrap03;EnchWeaponSoulTrap03 "Soul Trap" [ENCH:0005B461];of Binding;1500
StaminaDamage01;EnchWeaponStaminaDamage01 "Stamina Damage" [ENCH:0005B459];of Fatigue;500
StaminaDamage02;EnchWeaponStaminaDamage02 "Stamina Damage" [ENCH:0005B45A];of Weariness;1000
StaminaDamage03;EnchWeaponStaminaDamage03 "Stamina Damage" [ENCH:0005B45B];of Torpor;1500
TurnUndead01;EnchWeaponTurnUndead01 "Turn Undead" [ENCH:0005B46C];Blessed ;500
TurnUndead02;EnchWeaponTurnUndead02 "Turn Undead" [ENCH:0005B46D];Sanctified ;1000
TurnUndead03;EnchWeaponTurnUndead03 "Turn Undead" [ENCH:0005B46E];Reverent ;1500
